,date,price
913,05-Mar-97,5.17
914,04-Mar-97,5.23
915,03-Mar-97,5.31
916,28-Feb-97,5.32
917,27-Feb-97,5.25
918,26-Feb-97,5.18
919,25-Feb-97,5.23
920,24-Feb-97,5.19
921,21-Feb-97,5.24
922,20-Feb-97,5.22
923,19-Feb-97,5.18
924,18-Feb-97,5.23
925,17-Feb-97,5.2
926,14-Feb-97,5.25
927,13-Feb-97,5.14
928,12-Feb-97,5.13
929,11-Feb-97,4.83
930,10-Feb-97,4.95
931,07-Feb-97,4.92
932,06-Feb-97,4.83
933,05-Feb-97,4.87
934,04-Feb-97,4.85
935,03-Feb-97,4.9
936,31-Jan-97,4.91
937,30-Jan-97,4.95
938,29-Jan-97,4.93
939,28-Jan-97,4.95
940,27-Jan-97,5.02
941,24-Jan-97,4.91
942,23-Jan-97,4.82
943,22-Jan-97,4.69
944,21-Jan-97,4.72
945,20-Jan-97,4.74
946,17-Jan-97,4.76
947,16-Jan-97,4.75
948,15-Jan-97,4.67
949,14-Jan-97,4.69
950,13-Jan-97,4.69
951,10-Jan-97,4.75
952,09-Jan-97,4.7
953,08-Jan-97,4.64
954,07-Jan-97,4.69
955,06-Jan-97,4.63
956,03-Jan-97,4.67
957,02-Jan-97,4.71
958,31-Dec-98,5.02
959,30-Dec-98,5.04
960,29-Dec-98,5.02
961,28-Dec-98,4.92
962,24-Dec-98,4.92
963,23-Dec-98,4.88
964,22-Dec-98,4.91
965,21-Dec-98,4.90
966,18-Dec-98,4.94
967,17-Dec-98,4.96
968,16-Dec-98,4.99
969,15-Dec-98,4.89
970,14-Dec-98,4.88
971,11-Dec-98,4.79
972,10-Dec-98,4.80
973,09-Dec-98,4.78
974,08-Dec-98,4.81
975,07-Dec-98,4.80
976,04-Dec-98,4.77
977,03-Dec-98,4.74
978,02-Dec-98,4.70
979,01-Dec-98,4.87
980,30-Nov-98,4.88
981,27-Nov-98,4.92
982,26-Nov-98,4.92
983,25-Nov-98,4.93
984,24-Nov-98,4.90
985,23-Nov-98,4.91
986,20-Nov-98,4.90
987,19-Nov-98,4.95
988,18-Nov-98,4.97
989,17-Nov-98,4.93
990,16-Nov-98,4.92
991,13-Nov-98,5.03
992,12-Nov-98,5.13
993,11-Nov-98,5.00
994,10-Nov-98,4.99
995,09-Nov-98,5.04
996,06-Nov-98,5.01
997,05-Nov-98,5.04
998,04-Nov-98,4.94
999,03-Nov-98,4.92
1000,02-Nov-98,5.03
1001,30-Oct-98,5.03
1002,29-Oct-98,5.07
1003,28-Oct-98,5.04
1004,27-Oct-98,4.95
1005,26-Oct-98,4.98
1006,23-Oct-98,4.86
1007,22-Oct-98,4.88
1008,21-Oct-98,4.88
1009,20-Oct-98,4.88
1010,19-Oct-98,4.88
1011,16-Oct-98,4.93
1012,15-Oct-98,4.92
1013,14-Oct-98,4.81
1014,13-Oct-98,4.83
1015,12-Oct-98,4.82
